L,p,decoder,n_runs,n_fails,p_log
10,0.096,restricted,70000,9703,0.13861428571428572
10,0.0966315789473684,restricted,70000,10017,0.1431
10,0.0972631578947368,restricted,70000,10310,0.1472857142857143
10,0.0978947368421052,restricted,70000,10442,0.14917142857142857
10,0.0985263157894736,restricted,70000,10731,0.1533
10,0.0991578947368421,restricted,70000,10780,0.154
10,0.0997894736842105,restricted,70000,11076,0.15822857142857144
10,0.1004210526315789,restricted,70000,11206,0.16008571428571428
10,0.1010526315789473,restricted,70000,11374,0.1624857142857143
10,0.1016842105263158,restricted,70000,11549,0.1649857142857143
10,0.1023157894736842,restricted,70000,12024,0.17177142857142857
10,0.1029473684210526,restricted,70000,12319,0.17598571428571427
10,0.103578947368421,restricted,70000,12413,0.17732857142857142
10,0.1042105263157894,restricted,70000,12699,0.18141428571428572
10,0.1048421052631578,restricted,70000,12927,0.18467142857142857
10,0.1054736842105263,restricted,70000,13042,0.1863142857142857
10,0.1061052631578947,restricted,70000,13411,0.19158571428571428
10,0.1067368421052631,restricted,70000,13377,0.1911
10,0.1073684210526315,restricted,70000,13601,0.1943
10,0.108,restricted,70000,13774,0.19677142857142857
12,0.09,restricted,62250,6588,0.10583132530120481
12,0.0906896551724137,restricted,62250,6885,0.11060240963855422
12,0.0913793103448275,restricted,62250,7012,0.1126425702811245
12,0.0920689655172413,restricted,62250,7196,0.11559839357429719
12,0.0927586206896551,restricted,62250,7295,0.11718875502008032
12,0.0934482758620689,restricted,62250,7687,0.1234859437751004
12,0.0941379310344827,restricted,62250,7855,0.1261847389558233
12,0.0948275862068965,restricted,62250,7860,0.12626506024096384
12,0.0955172413793103,restricted,62250,8296,0.1332690763052209
12,0.0962068965517241,restricted,62250,8584,0.13789558232931726
12,0.0968965517241379,restricted,62250,8663,0.13916465863453814
12,0.0975862068965517,restricted,62250,8854,0.14223293172690762
12,0.0982758620689655,restricted,62250,9087,0.14597590361445784
12,0.0989655172413793,restricted,62250,9539,0.15323694779116465
12,0.0996551724137931,restricted,62250,9660,0.15518072289156626
12,0.1003448275862069,restricted,62250,9810,0.15759036144578314
12,0.1010344827586206,restricted,62250,10011,0.16081927710843374
12,0.1017241379310344,restricted,62250,10300,0.16546184738955824
12,0.1024137931034482,restricted,62250,10645,0.17100401606425703
12,0.103103448275862,restricted,62250,10741,0.17254618473895583
12,0.1037931034482758,restricted,62250,10923,0.1754698795180723
12,0.1044827586206896,restricted,62250,11397,0.18308433734939758
12,0.1051724137931034,restricted,62250,11496,0.18467469879518073
12,0.1058620689655172,restricted,62250,11876,0.19077911646586346
12,0.106551724137931,restricted,62250,11948,0.19193574297188756
12,0.1072413793103448,restricted,62250,12289,0.1974136546184739
12,0.1079310344827586,restricted,62250,12546,0.2015421686746988
12,0.1086206896551724,restricted,62250,12517,0.20107630522088354
12,0.1093103448275862,restricted,62250,13057,0.20975100401606425
12,0.11,restricted,62250,13211,0.21222489959839358
16,0.09,restricted,80000,7494,0.093675
16,0.0906896551724137,restricted,80000,7799,0.0974875
16,0.0913793103448275,restricted,80000,8005,0.1000625
16,0.0920689655172413,restricted,80000,8296,0.1037
16,0.0927586206896551,restricted,80000,8753,0.1094125
16,0.0934482758620689,restricted,80000,9057,0.1132125
16,0.0941379310344827,restricted,80000,9441,0.1180125
16,0.0948275862068965,restricted,80000,9609,0.1201125
16,0.0955172413793103,restricted,80000,10006,0.125075
16,0.0962068965517241,restricted,80000,10560,0.132
16,0.0968965517241379,restricted,80000,10646,0.133075
16,0.0975862068965517,restricted,80000,11099,0.1387375
16,0.0982758620689655,restricted,80000,11522,0.144025
16,0.0989655172413793,restricted,80000,11743,0.1467875
16,0.0996551724137931,restricted,80000,12091,0.1511375
16,0.1003448275862069,restricted,80000,12419,0.1552375
16,0.1010344827586206,restricted,80000,12789,0.1598625
16,0.1017241379310344,restricted,80000,13070,0.163375
16,0.1024137931034482,restricted,80000,13513,0.1689125
16,0.103103448275862,restricted,80000,13900,0.17375
16,0.1037931034482758,restricted,80000,14329,0.1791125
16,0.1044827586206896,restricted,80000,14430,0.180375
16,0.1051724137931034,restricted,80000,14991,0.1873875
16,0.1058620689655172,restricted,80000,15420,0.19275
16,0.106551724137931,restricted,80000,15681,0.1960125
16,0.1072413793103448,restricted,80000,16172,0.20215
16,0.1079310344827586,restricted,80000,16366,0.204575
16,0.1086206896551724,restricted,80000,16851,0.2106375
16,0.1093103448275862,restricted,80000,17152,0.2144
16,0.11,restricted,80000,17673,0.2209125
20,0.096,restricted,131000,16045,0.12248091603053435
20,0.0966315789473684,restricted,131000,16344,0.12476335877862596
20,0.0972631578947368,restricted,131000,17404,0.13285496183206108
20,0.0978947368421052,restricted,131000,17877,0.13646564885496182
20,0.0985263157894736,restricted,131000,18510,0.1412977099236641
20,0.0991578947368421,restricted,131000,18886,0.1441679389312977
20,0.0997894736842105,restricted,131000,19471,0.14863358778625954
20,0.1004210526315789,restricted,131000,20025,0.15286259541984734
20,0.1010526315789473,restricted,131000,20759,0.15846564885496184
20,0.1017241379310344,restricted,61500,10062,0.16360975609756098
20,0.1024137931034482,restricted,61500,10481,0.17042276422764227
20,0.103103448275862,restricted,61500,10664,0.17339837398373983
20,0.1037931034482758,restricted,61500,10981,0.1785528455284553
20,0.1044827586206896,restricted,61500,11515,0.18723577235772357
20,0.1051724137931034,restricted,61500,11747,0.19100813008130083
20,0.1058620689655172,restricted,61500,11973,0.1946829268292683
20,0.106551724137931,restricted,61500,12435,0.20219512195121953
20,0.1072413793103448,restricted,61500,12774,0.20770731707317072
20,0.1079310344827586,restricted,61500,13168,0.21411382113821137
20,0.108,restricted,131000,28208,0.21532824427480915
20,0.11,restricted,61500,14095,0.2291869918699187
28,0.09,restricted,46000,3196,0.06947826086956521
28,0.0906896551724137,restricted,46000,3491,0.07589130434782608
28,0.0913793103448275,restricted,46000,3492,0.07591304347826087
28,0.0920689655172413,restricted,46000,3741,0.08132608695652174
28,0.0927586206896551,restricted,46000,4012,0.08721739130434783
28,0.0934482758620689,restricted,46000,4246,0.09230434782608696
