L,p,decoder,weight,n_runs,n_fails,p_log
10,0.096,unified,1.1,60000,8254,0.13756666666666667
10,0.096,unified,2.1,79000,10732,0.13584810126582278
10,0.096,unified,2.5,60000,8172,0.1362
10,0.0966315789473684,unified,1.1,60000,8624,0.14373333333333332
10,0.0966315789473684,unified,2.1,79000,10999,0.13922784810126582
10,0.0966315789473684,unified,2.5,60000,8224,0.13706666666666667
10,0.0972631578947368,unified,1.1,60000,8620,0.14366666666666666
10,0.0972631578947368,unified,2.1,79000,11238,0.14225316455696202
10,0.0972631578947368,unified,2.5,60000,8351,0.13918333333333333
10,0.0978947368421052,unified,1.1,60000,9066,0.1511
10,0.0978947368421052,unified,2.1,79000,11395,0.14424050632911392
10,0.0978947368421052,unified,2.5,60000,8694,0.1449
10,0.0985263157894736,unified,1.1,60000,9091,0.15151666666666666
10,0.0985263157894736,unified,2.1,79000,11655,0.14753164556962026
10,0.0985263157894736,unified,2.5,60000,8848,0.14746666666666666
10,0.0991578947368421,unified,1.1,60000,9073,0.15121666666666667
10,0.0991578947368421,unified,2.1,79000,11844,0.1499240506329114
10,0.0991578947368421,unified,2.5,60000,9024,0.1504
10,0.0997894736842105,unified,1.1,60000,9530,0.15883333333333333
10,0.0997894736842105,unified,2.1,79000,12144,0.15372151898734177
10,0.0997894736842105,unified,2.5,60000,9198,0.1533
10,0.1004210526315789,unified,1.1,60000,9442,0.15736666666666665
10,0.1004210526315789,unified,2.1,79000,12538,0.15870886075949367
10,0.1004210526315789,unified,2.5,60000,9410,0.15683333333333332
10,0.1010526315789473,unified,1.1,60000,9784,0.16306666666666667
10,0.1010526315789473,unified,2.1,79000,12632,0.1598987341772152
10,0.1010526315789473,unified,2.5,60000,9646,0.16076666666666667
10,0.1016842105263158,unified,1.1,60000,9895,0.16491666666666666
10,0.1016842105263158,unified,2.1,79000,12958,0.1640253164556962
10,0.1016842105263158,unified,2.5,60000,9497,0.15828333333333333
10,0.1023157894736842,unified,1.1,60000,10201,0.17001666666666668
10,0.1023157894736842,unified,2.1,79000,12993,0.16446835443037974
10,0.1023157894736842,unified,2.5,60000,10068,0.1678
10,0.1029473684210526,unified,1.1,60000,10251,0.17085
10,0.1029473684210526,unified,2.1,79000,13308,0.16845569620253165
10,0.1029473684210526,unified,2.5,60000,10271,0.17118333333333333
10,0.103578947368421,unified,1.1,60000,10591,0.17651666666666666
