L,p,decoder,p_log
8,3.9568571269155473e-07,restricted,6.910015164308057e-23
8,5.595841013256606e-07,restricted,2.7639625764941923e-22
8,7.913714253831095e-07,restricted,1.105560429836231e-21
8,1.1191682026513212e-06,restricted,4.422102560133138e-21
8,1.582742850766219e-06,restricted,1.7687623066692913e-20
8,2.2383364053026424e-06,restricted,7.074603957592421e-20
8,3.165485701532438e-06,restricted,2.829589719745039e-19
8,4.476672810605285e-06,restricted,1.1320625875642969e-18
8,6.330971403064876e-06,restricted,4.5289018616154404e-18
8,8.95334562121057e-06,restricted,1.8111047419064935e-17
8,1.2661942806129751e-05,restricted,7.243870326453913e-17
8,1.790669124242114e-05,restricted,2.8968910835276815e-16
8,2.5323885612259503e-05,restricted,1.1581156742387709e-15
8,3.581338248484228e-05,restricted,4.62956827666454e-15
8,5.0647771224519006e-05,restricted,1.8503278905879585e-14
8,7.162676496968456e-05,restricted,7.395070701108051e-14
8,0.000101295542449,restricted,2.9623303373028564e-13
8,0.0001432535299393,restricted,1.187227224951832e-12
8,0.000202591084898,restricted,4.749001411678485e-12
8,0.0002865070598787,restricted,1.896060794426101e-11
8,0.0004051821697961,restricted,7.572256461141865e-11
8,0.0005730141197574,restricted,3.016328816191277e-10
8,0.0008103643395923,restricted,1.2017515973220733e-09
8,0.0011460282395149,restricted,4.766771386994636e-09
8,0.0016207286791846,restricted,1.8754855464255544e-08
8,0.0022920564790299,restricted,7.401131846659158e-08
8,0.0032414573583692,restricted,2.8858251020823633e-07
8,0.0045841129580598,restricted,1.1618968877321843e-06
8,0.0064829147167384,restricted,4.855314573592716e-06
8,0.0091682259161196,restricted,2.0255495675468256e-05
8,0.0129658294334768,restricted,8.604120561165005e-05
8,0.0183364518322392,restricted,0.00034635927773805
8,0.0259316588669537,restricted,0.0013680032512616998
8,0.0366729036644784,restricted,0.00541757517761005
8,0.05,restricted,0.017266
10,1.4696229124299043e-06,restricted,1.3580235820105884e-25
10,2.0036904166023085e-06,restricted,6.3977953475358015e-25
10,2.7318404276548887e-06,restricted,3.013976519112653e-24
10,3.7246033919874193e-06,restricted,1.4197719856997296e-23
10,5.078140833984581e-06,restricted,6.68774146093729e-23
10,6.923559803778624e-06,restricted,3.1499684559042186e-22
10,9.43961223676544e-06,restricted,1.483775287598764e-21
10,1.28700093168634e-05,restricted,6.988357767271669e-21
10,1.7547027956405508e-05,restricted,3.291103866840022e-20
10,2.392369597584064e-05,restricted,1.5499036180767854e-19
10,3.2617673520917874e-05,restricted,7.29823088857861e-19
10,4.4471081182087415e-05,restricted,3.4357596282362558e-18
10,6.0632069918644427e-05,restricted,1.616458061630154e-17
10,8.266603385618042e-05,restricted,7.604960403622945e-17
10,0.0001127072383093,restricted,3.579725788415975e-16
10,0.0001536655501027,restricted,1.6846244835276993e-15
10,0.0002095082946099,restricted,8.402222707617531e-15
10,0.0002856445408941,restricted,4.206602342763755e-14
10,0.0003894490377794,restricted,1.974209909270459e-13
10,0.0005309765506196,restricted,9.228009197776418e-13
10,0.0007239357912283,restricted,4.302830549902275e-12
10,0.0009870172782766,restricted,2.113492490826787e-11
10,0.0013457037480681,restricted,1.037942433424756e-10
10,0.0018347384766421,restricted,4.813214807059824e-10
10,0.00250149060111,restricted,2.3240951857094966e-09
10,0.0034105434137371,restricted,1.126583101375333e-08
10,0.0046499500625042,restricted,5.283008059447953e-08
10,0.0063397626010839,restricted,2.582502393614904e-07
10,0.0086436605335189,restricted,1.2406307099888927e-06
10,0.0117848052237697,restricted,6.031947402584807e-06
10,0.0160674558682198,restricted,3.0953744160385975e-05
10,0.0219064408087527,restricted,0.00015738977208165
10,0.0298673388521065,restricted,0.0007821140582721
10,0.0392505520957394,restricted,0.00304372856914385
10,0.05,restricted,0.009844
12,4.023068318633698e-06,restricted,9.615088615362265e-28
12,5.338907405568713e-06,restricted,5.252734091789036e-27
12,7.085122604857195e-06,restricted,2.8692355436220836e-26
12,9.402478543362396e-06,restricted,1.5674098131940973e-25
12,1.2477780228924084e-05,restricted,8.561851466909162e-25
12,1.655893163949206e-05,restricted,4.674227458259385e-24
12,2.197491957790431e-05,restricted,2.552156026749074e-23
12,2.916233371624541e-05,restricted,1.3935207287382297e-22
12,3.870056064427099e-05,restricted,7.607303108548899e-22
12,5.1358488958877705e-05,restricted,4.152213787080611e-21
12,6.81564903512485e-05,restricted,2.2655567164582276e-20
12,9.044867306589348e-05,restricted,1.235212292300268e-19
12,0.0001200320382874,restricted,6.737530347152732e-19
12,0.0001592913386904,restricted,3.675566504126818e-18
12,0.0002113913163837,restricted,2.0010723428888147e-17
12,0.0002805318167943,restricted,1.0892651858680174e-16
12,0.0003722863435462,restricted,5.93883062957434e-16
12,0.0004940513456719,restricted,3.268596081585483e-15
12,0.0006556424547706,restricted,1.806360982784545e-14
12,0.0008700857355485,restricted,9.906599758624021e-14
12,0.0011546677334521,restricted,5.443503039524033e-13
12,0.0015323289650702,restricted,2.951964191085563e-12
12,0.0020335131823362,restricted,1.5830341016707076e-11
12,0.0026986214820691,restricted,8.514842977618041e-11
12,0.0035812690897425,restricted,4.825481021846608e-10
12,0.004752607350962,restricted,2.7382786295228393e-09
12,0.0063070593318755,restricted,1.4987689527384268e-08
12,0.0083699313825591,restricted,8.414253554181977e-08
12,0.0111075142411758,restricted,4.868546319532534e-07
12,0.0147404879417542,restricted,2.839326161438813e-06
12,0.0195617111122425,restricted,1.6578568142877528e-05
12,0.0257877927372537,restricted,9.250392979137434e-05
12,0.0329314249300745,restricted,0.000413642415992875
12,0.0410001426069543,restricted,0.001556370812009975
12,0.05,restricted,0.005007
14,9.043121723205755e-06,restricted,9.626711021526557e-30
14,1.1751600534024718e-05,restricted,6.022742286708497e-29
14,1.527128787362314e-05,restricted,3.769310186153722e-28
14,1.9845146424424794e-05,restricted,2.3584830270257202e-27
14,2.5788907907832097e-05,restricted,1.475870437567968e-26
14,3.351286792523233e-05,restricted,9.234773691189471e-26
14,4.3550208507781626e-05,restricted,5.776425533232112e-25
14,5.659380346983856e-05,restricted,3.616350312682982e-24
14,7.354404722563886e-05,restricted,2.262250542734441e-23
14,9.557100867428992e-05,restricted,1.4128142909646905e-22
14,0.0001241952006121,restricted,8.834749978305612e-22
14,0.0001613925401548,restricted,5.538257310431413e-21
14,0.000209730745546,restricted,3.469779547315669e-20
14,0.0002725465847745,restricted,2.1729602743915217e-19
14,0.0003541762114031,restricted,1.356446580549045e-18
14,0.000460254487605,restricted,8.413844730237937e-18
14,0.0005981039565626,restricted,5.1849285965722904e-17
14,0.0007772403148469,restricted,3.194830257373383e-16
14,0.0010100292773437,restricted,1.98348540197448e-15
14,0.001312540177863,restricted,1.2347326473672052e-14
14,0.0017056552291586,restricted,7.769375876192557e-14
14,0.0022165110141564,restricted,5.180462591538136e-13
14,0.0028803717139836,restricted,3.4190686506089567e-12
14,0.0037430633810201,restricted,2.1438727797916156e-11
