L,p,decoder,p_log
6,6.162806575749284e-08,unified,4.772007193652558e-20
6,9.195562199115753e-08,unified,1.585257043145042e-19
6,1.3720755814492816e-07,unified,5.266207600074833e-19
6,2.047282548304022e-07,unified,1.7494268418821307e-18
6,3.0547630824848575e-07,unified,5.8115621802568885e-18
6,4.5580310826381597e-07,unified,1.9305850417103006e-17
6,6.801066658628041e-07,unified,6.413364294874767e-17
6,1.0147914056858551e-06,unified,2.1304949598388172e-16
6,1.514176597206905e-06,unified,7.077324863668592e-16
6,2.2593123618144166e-06,unified,2.3509994164018065e-15
6,3.3711340920625345e-06,unified,7.810275213607334e-15
6,5.030090242829287e-06,unified,2.5945865925468477e-14
6,7.505429081145268e-06,unified,8.618545359860073e-14
6,1.1198897628607198e-05,unified,2.8627234465759075e-13
6,1.6709945126399962e-05,unified,9.50772567138321e-13
6,2.4933013532870787e-05,unified,3.1577794250054926e-12
6,3.720270528286582e-05,unified,1.0488563465129053e-11
6,5.55103890084968e-05,unified,3.4839040646156654e-11
6,8.282739828852773e-05,unified,1.1567092848092655e-10
6,0.0001235872785217,unified,3.8378664483438016e-10
6,0.0001844053505003,unified,1.2728885093931066e-09
6,0.0002751523757127,unified,4.217427648142955e-09
6,0.0004105565790522,unified,1.3953136072883357e-08
6,0.0006125940369096,unified,4.785346819190543e-08
6,0.0009140553901815,unified,1.6411589156271764e-07
6,0.0013638677590379,unified,5.409347550641229e-07
6,0.0020350356051986,unified,1.7785597682561567e-06
6,0.003036489342154,unified,5.892505955178326e-06
6,0.0045307647205096,unified,1.9459356553111588e-05
6,0.006760382349326,unified,6.484672164265562e-05
6,0.0100872087447387,unified,0.00022596768738765
6,0.0150511871965464,unified,0.0008087235444836499
6,0.0224579704612179,unified,0.00281032310190775
6,0.03350967805069,unified,0.00941255671647235
6,0.05,unified,0.031
8,3.9568571269155473e-07,unified,3.752985192917541e-23
8,5.595841013256606e-07,unified,1.501170457185174e-22
