L,p,decoder,n_runs,n_fails,p_log
10,0.145,restricted,100000,13363,0.13363
10,0.145625,restricted,100000,13627,0.13627
10,0.14625,restricted,100000,13675,0.13675
10,0.1468749999999999,restricted,100000,13661,0.13661
10,0.1475,restricted,100000,14128,0.14128
10,0.148125,restricted,100000,14265,0.14265
10,0.14875,restricted,100000,13976,0.13976
10,0.1493749999999999,restricted,100000,14385,0.14385
10,0.15,restricted,100000,14427,0.14427
10,0.150625,restricted,100000,14551,0.14551
10,0.15125,restricted,100000,14676,0.14676
10,0.1518749999999999,restricted,100000,14680,0.1468
10,0.1525,restricted,100000,14900,0.149
10,0.153125,restricted,100000,15059,0.15059
10,0.15375,restricted,100000,15218,0.15218
10,0.1543749999999999,restricted,100000,15160,0.1516
10,0.155,restricted,100000,15509,0.15509
10,0.155625,restricted,100000,15609,0.15609
10,0.15625,restricted,100000,15760,0.1576
10,0.156875,restricted,100000,15705,0.15705
10,0.1575,restricted,100000,15879,0.15879
10,0.158125,restricted,100000,16288,0.16288
10,0.15875,restricted,100000,16390,0.1639
10,0.159375,restricted,100000,16237,0.16237
10,0.16,restricted,100000,16297,0.16297
12,0.145,restricted,150000,19696,0.13130666666666665
12,0.145625,restricted,150000,19963,0.13308666666666666
12,0.14625,restricted,150000,19998,0.13332
12,0.1468749999999999,restricted,150000,20393,0.13595333333333334
12,0.1475,restricted,150000,20663,0.13775333333333334
12,0.148125,restricted,150000,20851,0.13900666666666667
12,0.14875,restricted,150000,21046,0.14030666666666666
12,0.1493749999999999,restricted,150000,21145,0.14096666666666666
12,0.15,restricted,150000,21469,0.14312666666666668
12,0.150625,restricted,150000,21623,0.14415333333333333
12,0.15125,restricted,150000,21643,0.14428666666666667
12,0.1518749999999999,restricted,150000,21945,0.1463
12,0.1525,restricted,150000,22123,0.14748666666666665
12,0.153125,restricted,150000,22604,0.15069333333333335
12,0.15375,restricted,150000,22742,0.15161333333333332
12,0.1543749999999999,restricted,150000,23069,0.15379333333333334
12,0.155,restricted,150000,23111,0.15407333333333334
12,0.155625,restricted,150000,23328,0.15552
12,0.15625,restricted,150000,23630,0.15753333333333333
12,0.156875,restricted,150000,24011,0.16007333333333335
12,0.1575,restricted,150000,24022,0.16014666666666666
12,0.158125,restricted,150000,23905,0.15936666666666666
12,0.15875,restricted,150000,24447,0.16298
12,0.159375,restricted,150000,24340,0.16226666666666667
12,0.16,restricted,150000,24948,0.16632
14,0.145,restricted,95000,12274,0.1292
14,0.145625,restricted,95000,12353,0.13003157894736841
14,0.14625,restricted,95000,12513,0.1317157894736842
14,0.1468749999999999,restricted,95000,12588,0.13250526315789474
14,0.1475,restricted,95000,12735,0.13405263157894737
14,0.148125,restricted,95000,13023,0.13708421052631578
14,0.14875,restricted,95000,13073,0.13761052631578946
14,0.1493749999999999,restricted,95000,13515,0.14226315789473684
14,0.15,restricted,95000,13200,0.13894736842105262
14,0.150625,restricted,95000,13518,0.14229473684210525
14,0.15125,restricted,95000,13575,0.14289473684210527
14,0.1518749999999999,restricted,95000,13774,0.14498947368421053
14,0.1525,restricted,95000,13948,0.14682105263157894
14,0.153125,restricted,95000,14242,0.1499157894736842
14,0.15375,restricted,95000,14381,0.15137894736842106
14,0.1543749999999999,restricted,95000,14365,0.15121052631578946
14,0.155,restricted,95000,14839,0.1562
14,0.155625,restricted,95000,14809,0.1558842105263158
14,0.15625,restricted,95000,15024,0.15814736842105262
14,0.156875,restricted,95000,15121,0.15916842105263157
14,0.1575,restricted,95000,15478,0.1629263157894737
14,0.158125,restricted,95000,15450,0.16263157894736843
14,0.15875,restricted,95000,15490,0.16305263157894737
14,0.159375,restricted,95000,15748,0.1657684210526316
14,0.16,restricted,95000,15886,0.16722105263157894
16,0.145,restricted,100000,12758,0.12758
16,0.145625,restricted,100000,12874,0.12874
16,0.14625,restricted,100000,13028,0.13028
16,0.1468749999999999,restricted,100000,13171,0.13171
16,0.1475,restricted,100000,13298,0.13298
16,0.148125,restricted,100000,13452,0.13452
16,0.14875,restricted,100000,13658,0.13658
16,0.1493749999999999,restricted,100000,13866,0.13866
16,0.15,restricted,100000,13922,0.13922
16,0.150625,restricted,100000,14051,0.14051
16,0.15125,restricted,100000,14316,0.14316
16,0.1518749999999999,restricted,100000,14555,0.14555
16,0.1525,restricted,100000,14799,0.14799
16,0.153125,restricted,100000,14965,0.14965
16,0.15375,restricted,100000,14801,0.14801
16,0.1543749999999999,restricted,100000,15190,0.1519
16,0.155,restricted,100000,15502,0.15502
16,0.155625,restricted,100000,15599,0.15599
16,0.15625,restricted,100000,15520,0.1552
16,0.156875,restricted,100000,15910,0.1591
16,0.1575,restricted,100000,16195,0.16195
16,0.158125,restricted,100000,16350,0.1635
16,0.15875,restricted,100000,16351,0.16351
16,0.159375,restricted,100000,16565,0.16565
16,0.16,restricted,100000,16829,0.16829
18,0.145,restricted,100000,12328,0.12328
18,0.145625,restricted,100000,12420,0.1242
18,0.14625,restricted,100000,12685,0.12685
18,0.1468749999999999,restricted,100000,12966,0.12966
18,0.1475,restricted,100000,12988,0.12988
18,0.148125,restricted,100000,13435,0.13435
18,0.14875,restricted,100000,13489,0.13489
18,0.1493749999999999,restricted,100000,13646,0.13646
18,0.15,restricted,100000,13738,0.13738
18,0.150625,restricted,100000,14049,0.14049
18,0.15125,restricted,100000,14107,0.14107
18,0.1518749999999999,restricted,100000,14589,0.14589
18,0.1525,restricted,100000,14761,0.14761
18,0.153125,restricted,100000,14806,0.14806
18,0.15375,restricted,100000,14845,0.14845
18,0.1543749999999999,restricted,100000,15131,0.15131
18,0.155,restricted,100000,15199,0.15199
18,0.155625,restricted,100000,15593,0.15593
18,0.15625,restricted,100000,15661,0.15661
18,0.156875,restricted,100000,15978,0.15978
18,0.1575,restricted,100000,16149,0.16149
18,0.158125,restricted,100000,16436,0.16436
18,0.15875,restricted,100000,16586,0.16586
18,0.159375,restricted,100000,16686,0.16686
18,0.16,restricted,100000,16881,0.16881
20,0.145,restricted,150000,18459,0.12306
20,0.145625,restricted,150000,18497,0.12331333333333333
20,0.14625,restricted,150000,18831,0.12554
20,0.1468749999999999,restricted,150000,19071,0.12714
20,0.1475,restricted,150000,19322,0.12881333333333334
20,0.148125,restricted,150000,19519,0.13012666666666667
20,0.14875,restricted,150000,20318,0.13545333333333334
20,0.1493749999999999,restricted,150000,20312,0.13541333333333333
20,0.15,restricted,150000,20478,0.13652
