L,p,decoder,weight,n_runs,n_fails,p_log
12,0.145,unified,0.1,50000,5646.0,0.11292
12,0.145,unified,0.3,40000,4414.0,0.11035
12,0.145,unified,0.5,60000,6615.0,0.11025
12,0.145,unified,0.7,60000,6518.0,0.10863333333333333
12,0.145,unified,0.9,60000,6576.0,0.1096
12,0.145,unified,1.0,60000,6594.0,0.1099
12,0.145,unified,1.1,60000,6850.0,0.11416666666666667
12,0.145,unified,1.5,60000,6674.0,0.11123333333333334
12,0.145,unified,2.0,60000,7055.0,0.11758333333333333
12,0.145625,unified,0.1,50000,5622.0,0.11244
12,0.145625,unified,0.3,40000,4426.0,0.11065
12,0.145625,unified,0.5,60000,6871.0,0.11451666666666667
12,0.145625,unified,0.7,60000,6664.0,0.11106666666666666
12,0.145625,unified,0.9,60000,6677.0,0.11128333333333333
12,0.145625,unified,1.0,60000,6672.0,0.1112
12,0.145625,unified,1.1,60000,6892.0,0.11486666666666667
12,0.145625,unified,1.5,60000,6881.0,0.11468333333333333
12,0.145625,unified,2.0,60000,7238.0,0.12063333333333333
12,0.14625,unified,0.1,50000,5787.0,0.11574
12,0.14625,unified,0.3,40000,4614.0,0.11535
12,0.14625,unified,0.5,60000,6787.0,0.11311666666666667
12,0.14625,unified,0.7,60000,6689.0,0.11148333333333334
12,0.14625,unified,0.9,60000,6688.0,0.11146666666666667
12,0.14625,unified,1.0,60000,6587.0,0.10978333333333333
12,0.14625,unified,1.1,60000,6819.0,0.11365
12,0.14625,unified,1.5,60000,6894.0,0.1149
12,0.14625,unified,2.0,60000,7318.0,0.12196666666666667
12,0.1468749999999999,unified,0.1,50000,5669.0,0.11338
12,0.1468749999999999,unified,0.3,40000,4604.0,0.1151
12,0.1468749999999999,unified,0.5,60000,6943.0,0.11571666666666666
12,0.1468749999999999,unified,0.7,60000,6883.0,0.11471666666666666
12,0.1468749999999999,unified,0.9,60000,6813.0,0.11355
12,0.1468749999999999,unified,1.0,60000,6820.0,0.11366666666666667
12,0.1468749999999999,unified,1.1,60000,7170.0,0.1195
12,0.1468749999999999,unified,1.5,60000,7045.0,0.11741666666666667
12,0.1468749999999999,unified,2.0,60000,7403.0,0.12338333333333333
12,0.1475,unified,0.1,50000,5637.0,0.11274
12,0.1475,unified,0.3,40000,4754.0,0.11885
12,0.1475,unified,0.5,60000,7048.0,0.11746666666666666
12,0.1475,unified,0.7,60000,7033.0,0.11721666666666666
12,0.1475,unified,0.9,60000,6878.0,0.11463333333333334
12,0.1475,unified,1.0,60000,6936.0,0.1156
12,0.1475,unified,1.1,60000,7253.0,0.12088333333333333
12,0.1475,unified,1.5,60000,7184.0,0.11973333333333333
12,0.1475,unified,2.0,60000,7422.0,0.1237
12,0.148125,unified,0.1,50000,5969.0,0.11938
12,0.148125,unified,0.3,40000,4773.0,0.119325
12,0.148125,unified,0.5,60000,6972.0,0.1162
12,0.148125,unified,0.7,60000,6987.0,0.11645
12,0.148125,unified,0.9,60000,6924.0,0.1154
12,0.148125,unified,1.0,60000,6967.0,0.11611666666666667
12,0.148125,unified,1.1,60000,7123.0,0.11871666666666666
12,0.148125,unified,1.5,60000,7310.0,0.12183333333333334
12,0.148125,unified,2.0,60000,7588.0,0.12646666666666667
12,0.14875,unified,0.1,50000,6006.0,0.12012
12,0.14875,unified,0.3,40000,4763.0,0.119075
12,0.14875,unified,0.5,60000,7066.0,0.11776666666666667
12,0.14875,unified,0.7,60000,7088.0,0.11813333333333334
12,0.14875,unified,0.9,60000,7036.0,0.11726666666666667
12,0.14875,unified,1.0,60000,7108.0,0.11846666666666666
12,0.14875,unified,1.1,60000,7342.0,0.12236666666666667
12,0.14875,unified,1.5,60000,7136.0,0.11893333333333334
12,0.14875,unified,2.0,60000,7638.0,0.1273
12,0.1493749999999999,unified,0.1,50000,6019.0,0.12038
12,0.1493749999999999,unified,0.3,40000,4873.0,0.121825
12,0.1493749999999999,unified,0.5,60000,7163.0,0.11938333333333333
12,0.1493749999999999,unified,0.7,60000,7172.0,0.11953333333333334
12,0.1493749999999999,unified,0.9,60000,7093.0,0.11821666666666666
12,0.1493749999999999,unified,1.0,60000,7189.0,0.11981666666666667
12,0.1493749999999999,unified,1.1,60000,7346.0,0.12243333333333334
12,0.1493749999999999,unified,1.5,60000,7359.0,0.12265
12,0.1493749999999999,unified,2.0,60000,7880.0,0.13133333333333333
12,0.15,unified,0.1,50000,6231.0,0.12462
12,0.15,unified,0.3,40000,4907.0,0.122675
12,0.15,unified,0.5,60000,7311.0,0.12185
12,0.15,unified,0.7,60000,7197.0,0.11995
12,0.15,unified,0.9,60000,7138.0,0.11896666666666667
12,0.15,unified,1.0,60000,7272.0,0.1212
12,0.15,unified,1.1,60000,7312.0,0.12186666666666666
12,0.15,unified,1.5,60000,7580.0,0.12633333333333333
12,0.15,unified,2.0,60000,7788.0,0.1298
12,0.150625,unified,0.1,50000,6251.0,0.12502
12,0.150625,unified,0.3,40000,4998.0,0.12495
12,0.150625,unified,0.5,60000,7417.0,0.12361666666666667
12,0.150625,unified,0.7,60000,7299.0,0.12165
12,0.150625,unified,0.9,60000,7246.0,0.12076666666666666
12,0.150625,unified,1.0,60000,7392.0,0.1232
12,0.150625,unified,1.1,60000,7577.0,0.12628333333333333
12,0.150625,unified,1.5,60000,7527.0,0.12545
12,0.150625,unified,2.0,60000,7842.0,0.1307
12,0.15125,unified,0.1,50000,6170.0,0.1234
12,0.15125,unified,0.3,40000,4933.0,0.123325
12,0.15125,unified,0.5,60000,7582.0,0.12636666666666665
12,0.15125,unified,0.7,60000,7361.0,0.12268333333333334
12,0.15125,unified,0.9,60000,7433.0,0.12388333333333333
12,0.15125,unified,1.0,60000,7437.0,0.12395
12,0.15125,unified,1.1,60000,7675.0,0.12791666666666668
12,0.15125,unified,1.5,60000,7681.0,0.12801666666666667
12,0.15125,unified,2.0,60000,7935.0,0.13225
12,0.1518749999999999,unified,0.1,50000,6399.0,0.12798
12,0.1518749999999999,unified,0.3,40000,5207.0,0.130175
12,0.1518749999999999,unified,0.5,60000,7618.0,0.12696666666666667
12,0.1518749999999999,unified,0.7,60000,7460.0,0.12433333333333334
12,0.1518749999999999,unified,0.9,60000,7467.0,0.12445
12,0.1518749999999999,unified,1.0,60000,7660.0,0.12766666666666668
12,0.1518749999999999,unified,1.1,60000,7754.0,0.12923333333333334
12,0.1518749999999999,unified,1.5,60000,7767.0,0.12945
12,0.1518749999999999,unified,2.0,60000,7973.0,0.13288333333333333
12,0.1525,unified,0.1,50000,6413.0,0.12826
12,0.1525,unified,0.3,40000,5004.0,0.1251
12,0.1525,unified,0.5,60000,7767.0,0.12945
12,0.1525,unified,0.7,60000,7491.0,0.12485
12,0.1525,unified,0.9,60000,7612.0,0.12686666666666666
12,0.1525,unified,1.0,60000,7526.0,0.12543333333333334
12,0.1525,unified,1.1,60000,7752.0,0.1292
12,0.1525,unified,1.5,60000,7850.0,0.13083333333333333
12,0.1525,unified,2.0,60000,8139.0,0.13565
12,0.153125,unified,0.1,50000,6590.0,0.1318
12,0.153125,unified,0.3,40000,5165.0,0.129125
12,0.153125,unified,0.5,60000,7652.0,0.12753333333333333
12,0.153125,unified,0.7,60000,7690.0,0.12816666666666668
12,0.153125,unified,0.9,60000,7702.0,0.12836666666666666
12,0.153125,unified,1.0,60000,7695.0,0.12825
12,0.153125,unified,1.1,60000,7799.0,0.12998333333333334
12,0.153125,unified,1.5,60000,7972.0,0.13286666666666666
12,0.153125,unified,2.0,60000,8077.0,0.13461666666666666
12,0.15375,unified,0.1,50000,6610.0,0.1322
12,0.15375,unified,0.3,40000,5238.0,0.13095
12,0.15375,unified,0.5,60000,7737.0,0.12895
12,0.15375,unified,0.7,60000,7858.0,0.13096666666666668
12,0.15375,unified,0.9,60000,7670.0,0.12783333333333333
12,0.15375,unified,1.0,60000,7734.0,0.1289
12,0.15375,unified,1.1,60000,7969.0,0.13281666666666667
12,0.15375,unified,1.5,60000,7883.0,0.13138333333333332
12,0.15375,unified,2.0,60000,8259.0,0.13765
12,0.1543749999999999,unified,0.1,50000,6531.0,0.13062
12,0.1543749999999999,unified,0.3,40000,5278.0,0.13195
12,0.1543749999999999,unified,0.5,60000,7988.0,0.13313333333333333
12,0.1543749999999999,unified,0.7,60000,7754.0,0.12923333333333334
