L,p,decoder,weight,n_runs,n_fails,p_log
10,0.135,unified,1.0,60000,5890.0,0.09816666666666667
10,0.135,unified,1.8,111500,10737.0,0.09629596412556053
10,0.135,unified,2.1,60000,6218.0,0.10363333333333333
10,0.1359090909090909,unified,1.0,60000,5863.0,0.09771666666666666
10,0.1359090909090909,unified,1.8,111500,10962.0,0.09831390134529149
10,0.1359090909090909,unified,2.1,60000,6368.0,0.10613333333333333
10,0.1368181818181818,unified,1.0,60000,5993.0,0.09988333333333334
10,0.1368181818181818,unified,1.8,111500,11251.0,0.10090582959641256
10,0.1368181818181818,unified,2.1,60000,6383.0,0.10638333333333333
10,0.1377272727272727,unified,1.0,60000,6115.0,0.10191666666666667
10,0.1377272727272727,unified,1.8,111500,11670.0,0.10466367713004485
10,0.1377272727272727,unified,2.1,60000,6637.0,0.11061666666666667
10,0.1386363636363636,unified,1.0,60000,6297.0,0.10495
10,0.1386363636363636,unified,1.8,111500,11734.0,0.10523766816143498
10,0.1386363636363636,unified,2.1,60000,6807.0,0.11345
10,0.1395454545454545,unified,1.0,60000,6229.0,0.10381666666666667
10,0.1395454545454545,unified,1.8,111500,11682.0,0.1047713004484305
10,0.1395454545454545,unified,2.1,60000,6674.0,0.11123333333333334
10,0.1404545454545454,unified,1.0,60000,6463.0,0.10771666666666667
10,0.1404545454545454,unified,1.8,111500,12027.0,0.10786547085201793
10,0.1404545454545454,unified,2.1,60000,6893.0,0.11488333333333334
10,0.14045455,unified,2.1,10000,1181.0,0.1181
10,0.1413636363636363,unified,1.0,60000,6422.0,0.10703333333333333
10,0.1413636363636363,unified,1.8,111500,12244.0,0.10981165919282511
10,0.1413636363636363,unified,2.1,60000,7015.0,0.11691666666666667
10,0.14136364,unified,2.1,10000,1157.0,0.1157
10,0.1422727272727272,unified,1.0,60000,6628.0,0.11046666666666667
10,0.1422727272727272,unified,1.8,111500,12562.0,0.11266367713004484
10,0.1422727272727272,unified,2.1,60000,7242.0,0.1207
10,0.14227273,unified,2.1,10000,1207.0,0.1207
10,0.1431818181818182,unified,1.0,60000,6899.0,0.11498333333333334
10,0.1431818181818182,unified,1.8,111500,12462.0,0.11176681614349776
10,0.1431818181818182,unified,2.1,60000,7149.0,0.11915
10,0.14318182,unified,2.1,10000,1215.0,0.1215
10,0.144090909090909,unified,1.0,60000,6873.0,0.11455
10,0.144090909090909,unified,1.8,111500,12865.0,0.1153811659192825
10,0.144090909090909,unified,2.1,60000,7311.0,0.12185
10,0.14409091,unified,2.1,10000,1215.0,0.1215
10,0.145,unified,1.0,60000,6914.0,0.11523333333333333
10,0.145,unified,1.1,110000,13035.0,0.1185
10,0.145,unified,1.8,111500,13093.0,0.11742600896860987
10,0.145,unified,2.1,110000,13488.0,0.12261818181818182
10,0.145625,unified,1.1,110000,13024.0,0.1184
10,0.145625,unified,1.8,68000,7993.0,0.11754411764705883
10,0.145625,unified,2.1,40000,5053.0,0.126325
10,0.14625,unified,1.1,110000,13168.0,0.1197090909090909
10,0.14625,unified,1.8,68000,7818.0,0.11497058823529412
10,0.14625,unified,2.1,40000,5008.0,0.1252
10,0.1468749999999999,unified,1.1,110000,13065.0,0.11877272727272727
10,0.1468749999999999,unified,2.1,40000,5113.0,0.127825
10,0.146875,unified,1.8,68000,8241.0,0.12119117647058823
10,0.1475,unified,1.1,110000,13378.0,0.12161818181818182
10,0.1475,unified,1.8,68000,8246.0,0.12126470588235294
10,0.1475,unified,2.1,40000,5187.0,0.129675
10,0.148125,unified,1.1,110000,13489.0,0.12262727272727272
10,0.148125,unified,1.8,68000,8247.0,0.12127941176470589
10,0.148125,unified,2.1,40000,5164.0,0.1291
10,0.14875,unified,1.1,110000,13687.0,0.12442727272727273
10,0.14875,unified,1.8,68000,8256.0,0.12141176470588236
10,0.14875,unified,2.1,40000,5309.0,0.132725
10,0.1493749999999999,unified,1.1,110000,13802.0,0.12547272727272726
10,0.1493749999999999,unified,2.1,40000,5354.0,0.13385
10,0.149375,unified,1.8,68000,8442.0,0.12414705882352942
10,0.15,unified,1.1,110000,13891.0,0.1262818181818182
10,0.15,unified,1.8,68000,8450.0,0.12426470588235294
10,0.15,unified,2.1,40000,5389.0,0.134725
10,0.150625,unified,1.1,110000,14070.0,0.12790909090909092
10,0.150625,unified,1.8,68000,8681.0,0.12766176470588236
10,0.150625,unified,2.1,40000,5321.0,0.133025
10,0.15125,unified,1.1,110000,14206.0,0.12914545454545454
10,0.15125,unified,1.8,68000,8580.0,0.1261764705882353
10,0.15125,unified,2.1,40000,5524.0,0.1381
10,0.1518749999999999,unified,1.1,110000,14356.0,0.1305090909090909
10,0.1518749999999999,unified,2.1,40000,5480.0,0.137
10,0.151875,unified,1.8,68000,8846.0,0.13008823529411764
10,0.1525,unified,1.1,110000,14189.0,0.1289909090909091
10,0.1525,unified,2.1,40000,5548.0,0.1387
10,0.153125,unified,1.1,110000,14375.0,0.13068181818181818
10,0.153125,unified,2.1,40000,5587.0,0.139675
10,0.15375,unified,1.1,110000,14735.0,0.13395454545454547
10,0.15375,unified,2.1,40000,5758.0,0.14395
10,0.1543749999999999,unified,1.1,110000,15028.0,0.1366181818181818
10,0.1543749999999999,unified,2.1,40000,5674.0,0.14185
10,0.155,unified,1.1,110000,15091.0,0.13719090909090909
10,0.155,unified,2.1,40000,5741.0,0.143525
10,0.155625,unified,1.1,110000,15125.0,0.1375
10,0.155625,unified,2.1,40000,5795.0,0.144875
10,0.15625,unified,1.1,110000,15276.0,0.1388727272727273
10,0.15625,unified,2.1,40000,5908.0,0.1477
10,0.156875,unified,1.1,110000,15375.0,0.13977272727272727
10,0.156875,unified,2.1,40000,5850.0,0.14625
10,0.1575,unified,1.1,110000,15389.0,0.1399
10,0.1575,unified,2.1,40000,6014.0,0.15035
10,0.158125,unified,1.1,110000,15712.0,0.14283636363636365
10,0.158125,unified,2.1,40000,5964.0,0.1491
10,0.15875,unified,1.1,110000,15727.0,0.14297272727272728
10,0.15875,unified,2.1,40000,6081.0,0.152025
10,0.159375,unified,1.1,110000,16106.0,0.1464181818181818
10,0.159375,unified,2.1,40000,6153.0,0.153825
10,0.16,unified,1.1,110000,16093.0,0.1463
10,0.16,unified,2.1,40000,6400.0,0.16
12,0.135,unified,1.0,60000,5637.0,0.09395
12,0.135,unified,1.8,113000,10628.0,0.09405309734513274
12,0.135,unified,2.1,60000,6143.0,0.10238333333333334
12,0.1359090909090909,unified,1.0,60000,5883.0,0.09805
12,0.1359090909090909,unified,1.8,113000,10998.0,0.09732743362831858
12,0.1359090909090909,unified,2.1,60000,6437.0,0.10728333333333333
12,0.1368181818181818,unified,1.0,60000,5872.0,0.09786666666666667
12,0.1368181818181818,unified,1.8,113000,10779.0,0.09538938053097346
12,0.1368181818181818,unified,2.1,60000,6390.0,0.1065
12,0.1377272727272727,unified,1.0,60000,5969.0,0.09948333333333333
12,0.1377272727272727,unified,1.8,113000,11060.0,0.09787610619469027
12,0.1377272727272727,unified,2.1,60000,6590.0,0.10983333333333334
12,0.1386363636363636,unified,1.0,60000,5868.0,0.0978
12,0.1386363636363636,unified,1.8,113000,11383.0,0.10073451327433629
12,0.1386363636363636,unified,2.1,60000,6720.0,0.112
12,0.1395454545454545,unified,1.0,60000,6154.0,0.10256666666666667
12,0.1395454545454545,unified,1.8,113000,11453.0,0.10135398230088495
12,0.1395454545454545,unified,2.1,60000,6687.0,0.11145
12,0.1404545454545454,unified,1.0,60000,6165.0,0.10275
12,0.1404545454545454,unified,1.8,113000,11709.0,0.10361946902654867
12,0.1404545454545454,unified,2.1,60000,6919.0,0.11531666666666666
12,0.14045455,unified,2.1,10000,1148.0,0.1148
12,0.1413636363636363,unified,1.0,60000,6302.0,0.10503333333333334
12,0.1413636363636363,unified,1.8,113000,12009.0,0.10627433628318585
12,0.1413636363636363,unified,2.1,60000,6922.0,0.11536666666666667
12,0.14136364,unified,2.1,10000,1189.0,0.1189
12,0.1422727272727272,unified,1.0,60000,6459.0,0.10765
12,0.1422727272727272,unified,1.8,113000,12173.0,0.10772566371681416
12,0.1422727272727272,unified,2.1,60000,7039.0,0.11731666666666667
12,0.14227273,unified,2.1,10000,1193.0,0.1193
12,0.1431818181818182,unified,1.0,60000,6566.0,0.10943333333333333
12,0.1431818181818182,unified,1.8,113000,12614.0,0.1116283185840708
12,0.1431818181818182,unified,2.1,60000,7381.0,0.12301666666666666
12,0.14318182,unified,2.1,10000,1192.0,0.1192
12,0.144090909090909,unified,1.0,60000,6803.0,0.11338333333333334
12,0.144090909090909,unified,1.8,113000,12573.0,0.11126548672566372
12,0.144090909090909,unified,2.1,60000,7314.0,0.1219
12,0.14409091,unified,2.1,10000,1215.0,0.1215
12,0.145,unified,1.0,60000,6962.0,0.11603333333333334
12,0.145,unified,1.1,60000,6810.0,0.1135
12,0.145,unified,1.8,113000,12876.0,0.11394690265486726
12,0.145,unified,2.1,110000,13812.0,0.12556363636363638
12,0.145625,unified,1.1,60000,6950.0,0.11583333333333333
12,0.145625,unified,1.8,59500,6775.0,0.11386554621848739
12,0.145625,unified,2.1,40000,5068.0,0.1267
12,0.14625,unified,1.1,60000,7047.0,0.11745
12,0.14625,unified,1.8,59500,7031.0,0.11816806722689076
12,0.14625,unified,2.1,40000,5038.0,0.12595
12,0.1468749999999999,unified,1.1,60000,7075.0,0.11791666666666667
