L,p,decoder,p_log
6,4.5580310826381597e-07,restricted,1.758870472207107e-12
6,6.801066658628041e-07,restricted,3.915907994791739e-12
6,1.0147914056858551e-06,restricted,8.718277117288376e-12
6,1.514176597206905e-06,restricted,1.941035345395269e-11
6,2.2593123618144166e-06,restricted,4.321507853048223e-11
6,3.3711340920625345e-06,restricted,9.621226944531747e-11
6,5.030090242829287e-06,restricted,2.1420197588358337e-10
6,7.505429081145268e-06,restricted,4.768845971058149e-10
6,1.1198897628607198e-05,restricted,1.0617021917190091e-09
6,1.6709945126399962e-05,restricted,2.3636603435600463e-09
6,2.4933013532870787e-05,restricted,5.2639315832445995e-09
6,3.720270528286582e-05,restricted,1.1725545301456651e-08
6,5.55103890084968e-05,restricted,2.611831002230772e-08
6,8.282739828852773e-05,restricted,5.816647494649096e-08
6,0.0001235872785217,restricted,1.2947200290610626e-07
6,0.0001844053505003,restricted,2.8825053058622274e-07
6,0.0002751523757127,restricted,6.41974009008077e-07
6,0.0004105565790522,restricted,1.429028961295949e-06
6,0.0006125940369096,restricted,3.1802933886808057e-06
6,0.0009140553901815,restricted,7.076298891503994e-06
6,0.0013638677590379,restricted,1.5730719541595184e-05
6,0.0020350356051986,restricted,3.4968410635387755e-05
6,0.003036489342154,restricted,7.777732566427445e-05
6,0.0045307647205096,restricted,0.000172622875674
6,0.006760382349326,restricted,0.0003822646300551
6,0.0100872087447387,restricted,0.0008466983756846001
6,0.0150511871965464,restricted,0.0018829829269393001
6,0.0224579704612179,restricted,0.0042215284432852
6,0.03350967805069,restricted,0.00940010689870385
6,0.05,restricted,0.020875
8,2.157918643757775e-06,restricted,2.593946534333677e-11
8,3.0517578125000006e-06,restricted,5.187795689330725e-11
8,4.31583728751555e-06,restricted,1.0375315954225389e-10
8,6.103515625000001e-06,restricted,2.0749947139481317e-10
8,8.6316745750311e-06,restricted,4.1497881214593726e-10
8,1.2207031250000002e-05,restricted,8.298953107005745e-10
8,1.72633491500622e-05,restricted,1.6596489766750708e-09
8,2.4414062500000005e-05,restricted,3.3189361396907547e-09
8,3.45266983001244e-05,restricted,6.638094951096104e-09
8,4.882812500000001e-05,restricted,1.3275647252936058e-08
8,6.90533966002488e-05,restricted,2.654819455585081e-08
8,9.765625000000002e-05,restricted,5.3095646105065835e-08
8,0.0001381067932004,restricted,1.0617952233367807e-07
8,0.0001953125,restricted,2.123073763308957e-07
8,0.0002762135864009,restricted,4.242388398204303e-07
8,0.000390625,restricted,8.47928953897036e-07
8,0.0005524271728019,restricted,1.6953938144768053e-06
8,0.00078125,restricted,3.387237982806183e-06
8,0.0011048543456039,restricted,6.760321375774164e-06
8,0.0015625,restricted,1.3489187949992449e-05
8,0.0022097086912079,restricted,2.6970159441153945e-05
8,0.003125,restricted,5.38728784322088e-05
8,0.0044194173824159,restricted,0.00010822957797279999
8,0.00625,restricted,0.00021671393282215
8,0.0088388347648318,restricted,0.0004349697424449
8,0.0125,restricted,0.0008948990327425
8,0.0176776695296636,restricted,0.0018725901706744
8,0.025,restricted,0.00397240073747235
8,0.0353553390593273,restricted,0.0083964393736502
8,0.05,restricted,0.018
10,6.235244811113668e-06,restricted,1.2478517934885128e-14
10,8.501160513713493e-06,restricted,3.162376114750942e-14
10,1.1590520062838317e-05,restricted,8.013840264015169e-14
10,1.580256661550492e-05,restricted,2.0308381835433278e-13
10,2.1545289623209395e-05,restricted,5.146634208376389e-13
10,2.9374943719111948e-05,restricted,1.3042703354799571e-12
10,4.004992894462926e-05,restricted,3.305958462388315e-12
10,5.460425129006321e-05,restricted,8.380443282722772e-12
10,7.444767912249214e-05,restricted,2.1242985360586767e-11
10,0.0001015022969051,restricted,5.382817958060766e-11
10,0.0001383886831456,restricted,1.363633809406593e-10
10,0.0001886797462396,restricted,3.455661500776465e-10
10,0.0002572468053878,restricted,8.756610548466443e-10
10,0.0003507314388592,restricted,2.218416329111045e-09
10,0.0004781888040119,restricted,5.6149771784317034e-09
10,0.0006519647426707,restricted,1.4207262795183811e-08
10,0.0008888916305012,restricted,3.5952737925054624e-08
10,0.0012119188033674,restricted,9.084490682957596e-08
10,0.0016523354878786,restricted,2.2975538988401236e-07
10,0.0022528015547881,restricted,5.807109927562713e-07
10,0.0030714796616584,restricted,1.4656860258265324e-06
10,0.0041876690345541,restricted,3.7067753005158918e-06
10,0.0057094865910636,restricted,9.373758897328432e-06
10,0.0077843394175981,restricted,2.3915503834291356e-05
10,0.0106132029915292,restricted,6.148850599840941e-05
10,0.0144700881727689,restricted,0.00016004401414905002
10,0.0197285825866915,restricted,0.00042436894835314997
10,0.0268980372636823,restricted,0.00112833155705415
10,0.0366729036644784,restricted,0.0030101695748443
10,0.05,restricted,0.008075
12,1.364632003543747e-05,restricted,4.457044177089792e-14
12,1.8109669865288563e-05,restricted,1.0415521169677602e-13
12,2.403286320253935e-05,restricted,2.4337760459737457e-13
12,3.1893376191193574e-05,restricted,5.686261852993963e-13
12,4.232485477491985e-05,restricted,1.3287928462671238e-12
12,5.616819370201066e-05,restricted,3.1057288608935794e-12
12,7.453932211992012e-05,restricted,7.2573455612024184e-12
12,9.891916004231982e-05,restricted,1.695674162076591e-11
12,0.0001312729971938,restricted,3.9611523521905084e-11
12,0.0001742089175128,restricted,9.251806294456365e-11
12,0.0002311880401129,restricted,2.1602251639200366e-10
12,0.0003068035244942,restricted,5.043890832781945e-10
12,0.0004071508309689,restricted,1.1772859847082559e-09
12,0.0005403190834656,restricted,2.7476362521850272e-09
12,0.0007170431440907,restricted,6.413949054736307e-09
12,0.0009515689640086,restricted,1.493972467576004e-08
12,0.0012628019676733,restricted,3.480283558064739e-08
12,0.0016758310431247,restricted,8.104770971797292e-08
12,0.0022239509891443,restricted,1.8819343964471333e-07
12,0.0029513464513068,restricted,4.4788425252874055e-07
12,0.0039166537024238,restricted,1.065597596226871e-06
12,0.0051976873870291,restricted,2.5195154565206232e-06
12,0.0068977132587858,restricted,5.919372427188625e-06
12,0.0091537725641528,restricted,1.4419956643331485e-05
12,0.012147729111457,restricted,3.729445714591647e-05
12,0.016120929543654,restricted,9.524002560882649e-05
12,0.0213936585979967,restricted,0.00024073086447955
12,0.0283909576658256,restricted,0.00063291141366895
12,0.0376768879194033,restricted,0.001750233991742
12,0.05,restricted,0.005
14,2.508356946198253e-05,restricted,8.973799623789671e-17
14,3.259627563435963e-05,restricted,2.5587995088274446e-16
14,4.235909035360907e-05,restricted,7.297611527740472e-16
