L,p,decoder,p_log
6,4.5580310826381597e-07,unified,1.40326298874851e-12
6,6.801066658628041e-07,unified,3.1241918284132534e-12
6,1.0147914056858551e-06,unified,6.9556205518627895e-12
6,1.514176597206905e-06,unified,1.5485792231680123e-11
6,2.2593123618144166e-06,unified,3.447704325632517e-11
6,3.3711340920625345e-06,unified,7.675826790672447e-11
6,5.030090242829287e-06,unified,1.7089060205950524e-10
6,7.505429081145268e-06,unified,3.804597290112496e-10
6,1.1198897628607198e-05,unified,8.470215382754562e-10
6,1.6709945126399962e-05,unified,1.885738030521281e-09
6,2.4933013532870787e-05,unified,4.1982410805540845e-09
6,3.720270528286582e-05,unified,9.346716352451567e-09
6,5.55103890084968e-05,unified,2.080813500401597e-08
6,8.282739828852773e-05,unified,4.632089839021882e-08
6,0.0001235872785217,unified,1.0311975286045886e-07
6,0.0001844053505003,unified,2.295884387354145e-07
6,0.0002751523757127,unified,5.112540307026128e-07
6,0.0004105565790522,unified,1.1383255542582903e-06
6,0.0006125940369096,unified,2.534073212410644e-06
6,0.0009140553901815,unified,5.639076063489062e-06
6,0.0013638677590379,unified,1.2542018327659614e-05
6,0.0020350356051986,unified,2.7897601305833803e-05
6,0.003036489342154,unified,6.214098926138888e-05
6,0.0045307647205096,unified,0.00013882058708565
6,0.006760382349326,unified,0.00031030226852825
6,0.0100872087447387,unified,0.0006929486742996
6,0.0150511871965464,unified,0.0015540253066174
6,0.0224579704612179,unified,0.0034928056661083498
6,0.03350967805069,unified,0.00788872754522185
6,0.05,unified,0.018
8,2.157918643757775e-06,unified,5.674722536886204e-12
8,3.0517578125000006e-06,unified,1.1349453287248437e-11
8,4.31583728751555e-06,unified,2.2698750577881422e-11
8,6.103515625000001e-06,unified,4.5395796900246416e-11
8,8.6316745750311e-06,unified,9.078722875212335e-11
8,1.2207031250000002e-05,unified,1.8156467617898087e-10
8,1.72633491500622e-05,unified,3.631013669864051e-10
8,2.4414062500000005e-05,unified,7.261694883473075e-10
8,3.45266983001244e-05,unified,1.4521840206692656e-09
8,4.882812500000001e-05,unified,2.9036368636206934e-09
8,6.90533966002488e-05,unified,5.807482163953782e-09
8,9.765625000000002e-05,unified,1.1622955055598723e-08
8,0.0001381067932004,unified,2.326004630336209e-08
8,0.0001953125,unified,4.653567491449635e-08
8,0.0002762135864009,unified,9.312190008696109e-08
8,0.000390625,unified,1.8657895826617902e-07
8,0.0005524271728019,unified,3.738685371085097e-07
8,0.00078125,unified,7.473569609031872e-07
8,0.0011048543456039,unified,1.4968417904612691e-06
8,0.0015625,unified,3.0735728265673164e-06
8,0.0022097086912079,unified,6.300840142782296e-06
8,0.003125,unified,1.2790092714439212e-05
8,0.0044194173824159,unified,2.623073081133667e-05
8,0.00625,unified,5.565358820653456e-05
8,0.0088388347648318,unified,0.00012211962753825
8,0.0125,unified,0.00027999394329425
8,0.0176776695296636,unified,0.0006664826059428
8,0.025,unified,0.001587793854755
8,0.0353553390593273,unified,0.0038914884796528
8,0.05,unified,0.00997
10,6.235244811113668e-06,unified,5.270276937026275e-15
10,8.501160513713493e-06,unified,1.3355930236187957e-14
10,1.1590520062838317e-05,unified,3.3845881009575666e-14
10,1.580256661550492e-05,unified,8.577865089361963e-14
10,2.1545289623209395e-05,unified,2.1740203397299308e-13
10,2.9374943719111948e-05,unified,5.509622508531049e-13
10,4.004992894462926e-05,unified,1.3965885872801047e-12
10,5.460425129006321e-05,unified,3.539800053548289e-12
10,7.444767912249214e-05,unified,8.969340833415967e-12
10,0.0001015022969051,unified,2.2732337032620546e-11
10,0.0001383886831456,unified,5.765486438759086e-11
10,0.0001886797462396,unified,1.4626451767067045e-10
10,0.0002572468053878,unified,3.708446626278277e-10
10,0.0003507314388592,unified,9.402703196055803e-10
10,0.0004781888040119,unified,2.3833999264403914e-09
10,0.0006519647426707,unified,6.0389077941484705e-09
10,0.0008888916305012,unified,1.5324813937205252e-08
10,0.0012119188033674,unified,3.9754307338130743e-08
10,0.0016523354878786,unified,1.0314540742409376e-07
10,0.0022528015547881,unified,2.626134099432446e-07
10,0.0030714796616584,unified,6.703981691336537e-07
10,0.0041876690345541,unified,1.7310734849440635e-06
10,0.0057094865910636,unified,4.4957246906137435e-06
10,0.0077843394175981,unified,1.1812600972235702e-05
10,0.0106132029915292,unified,3.1649580671633486e-05
10,0.0144700881727689,unified,8.573971597816251e-05
10,0.0197285825866915,unified,0.0002342562850469
10,0.0268980372636823,unified,0.000646922212203
10,0.0366729036644784,unified,0.0018180319519683
10,0.05,unified,0.0053
12,1.364632003543747e-05,unified,5.2349401371783e-15
12,1.8109669865288563e-05,unified,1.2240508290560866e-14
12,2.403286320253935e-05,unified,2.860630305064397e-14
12,3.1893376191193574e-05,unified,6.685001551730524e-14
12,4.232485477491985e-05,unified,1.5628421752854982e-13
12,5.616819370201066e-05,unified,3.6542001947638517e-13
12,7.453932211992012e-05,unified,8.539908738599795e-13
12,9.891916004231982e-05,unified,1.9960024924111157e-12
12,0.0001312729971938,unified,4.674214739218948e-12
12,0.0001742089175128,unified,1.093374504371288e-11
12,0.0002311880401129,unified,2.555779062935249e-11
12,0.0003068035244942,unified,5.983550513849403e-11
12,0.0004071508309689,unified,1.400333380317282e-10
12,0.0005403190834656,unified,3.295701157615645e-10
12,0.0007170431440907,unified,7.748102537844724e-10
12,0.0009515689640086,unified,1.921378566574395e-09
12,0.0012628019676733,unified,4.783999403674065e-09
12,0.0016758310431247,unified,1.1390744220190834e-08
12,0.0022239509891443,unified,2.7318960945556837e-08
12,0.0029513464513068,unified,6.479729251219076e-08
12,0.0039166537024238,unified,1.542704760583089e-07
12,0.0051976873870291,unified,3.836995264954467e-07
12,0.0068977132587858,unified,1.014703213834998e-06
12,0.0091537725641528,unified,2.8916206469173936e-06
12,0.012147729111457,unified,8.708339300578328e-06
12,0.016120929543654,unified,2.616361706156777e-05
12,0.0213936585979967,unified,7.958059144876446e-05
12,0.0283909576658256,unified,0.00025185095818939997
12,0.0376768879194033,unified,0.0008374713687894001
12,0.05,unified,0.0028
14,2.508356946198253e-05,unified,2.6454657809906724e-17
14,3.259627563435963e-05,unified,7.542650949138155e-17
14,4.235909035360907e-05,unified,2.1503564717732555e-16
14,5.504593701784319e-05,unified,6.130896950126471e-16
14,7.153258384157424e-05,unified,1.7478594558585324e-15
14,9.295709780347997e-05,unified,4.9840107002410224e-15
14,0.0001207984049783,unified,1.4215708223981685e-14
14,0.0001569783802434,unified,4.055630813364372e-14
14,0.0002039945135722,unified,1.157062874033726e-13
14,0.0002650923108202,unified,3.3014584904828164e-13
14,0.0003444893297639,unified,9.41650292553532e-13
14,0.0004476663165145,unified,2.6884261638704697e-12
14,0.0005817455393436,unified,7.690438189478372e-12
14,0.0007559824361618,unified,2.2090287374104826e-11
14,0.0009824045138876,unified,6.329826404367786e-11
14,0.0012766416026896,unified,1.8071725019018115e-10
14,0.001659004777236,unified,5.197163607512343e-10
14,0.0021558884224778,unified,1.511824689966921e-09
14,0.0028015922280328,unified,4.39770290210404e-09
14,0.0036406888827544,unified,1.2959879218665988e-08
14,0.0047311009105413,unified,3.907509453772512e-08
14,0.0061480990401988,unified,1.187506957927857e-07
14,0.0079894981153062,unified,3.6220878626710507e-07
14,0.0103824092157789,unified,1.096733272365666e-06
14,0.0134920140875157,unified,3.3785515153844154e-06
14,0.0175329675756827,unified,1.0569800140159904e-05
14,0.0227842151672808,unified,3.403129159591374e-05
14,0.0296082484923396,unified,0.0001170221447722
14,0.038476127983686,unified,0.00042190742941960004
14,0.05,unified,0.00159
16,4.0972730153831765e-05,unified,8.078984478268257e-18
16,5.235101171364898e-05,unified,2.2757304633578618e-17
16,6.688908493900569e-05,unified,6.430870340475859e-17
16,8.546443588235404e-05,unified,1.7138377168271974e-16
16,0.0001091982317795,unified,4.569662614617742e-16
16,0.0001395229922325,unified,1.2195787683880324e-15
16,0.0001782690529351,unified,3.258780997593669e-15
16,0.0002277750407001,unified,8.711839507958807e-15
16,0.0002910290278192,unified,2.3285850763364953e-14
16,0.0003718488855191,unified,6.226518599555507e-14
16,0.0004751127222529,unified,1.689072903628035e-13
16,0.0006070533155731,unified,4.618404425093482e-13
16,0.0007756343088454,unified,1.2834643418693236e-12
16,0.0009910308792073,unified,3.564627702795129e-12
16,0.0012662438888299,unified,1.0179517356601862e-11
16,0.0016178845883003,unified,2.8896316626935926e-11
16,0.0020671772350889,unified,8.405486895811237e-11
16,0.0026412401429444,unified,2.5366545655607545e-10
16,0.0033747224835325,unified,7.616087334320091e-10
16,0.0043118956340575,unified,2.296650610912126e-09
16,0.0055093253,unified,7.38657617913e-09
16,0.00550932539392,unified,7.3865761791395695e-09
16,0.0070392858164087,unified,2.428104924837087e-08
16,0.0089941220135186,unified,8.159348685468282e-08
16,0.0114918235889064,unified,2.808365985577626e-07
16,0.0146831463037804,unified,9.850046331999375e-07
16,0.018760711362324,unified,3.5134488629753607e-06
16,0.0239706316029703,unified,1.3044897469371655e-05
16,0.0306273663268033,unified,4.996008093341267e-05
16,0.039132701367784,unified,0.00019838333345848
16,0.05,unified,0.0008290000000000001
18,6.151958251437503e-05,unified,9.107944127553881e-20
